Fecha,SPEI,Zona
1931-03-16,1.6583349,Sevilla
1931-04-16,-0.3088797,Sevilla
1931-05-16,-0.26614374,Sevilla
1931-06-16,-0.7073257,Sevilla
1931-07-16,0.5263007,Sevilla
1931-08-16,1.010332,Sevilla
1931-09-16,0.36412704,Sevilla
1931-10-16,1.2802514,Sevilla
1931-11-16,-0.4060716,Sevilla
1931-12-16,-1.407132,Sevilla
1932-01-16,-0.3052292,Sevilla
1932-02-15,0.7136348,Sevilla
1932-03-16,0.65107,Sevilla
1932-04-16,0.26071626,Sevilla
1932-05-16,0.15677689,Sevilla
1932-06-16,1.0129685,Sevilla
1932-07-16,1.0249853,Sevilla
1932-08-16,-0.06541796,Sevilla
1932-09-16,1.4170724,Sevilla
1932-10-16,-0.6627338,Sevilla
1932-11-16,0.37482327,Sevilla
1932-12-16,0.95062673,Sevilla
1933-01-16,0.9233033,Sevilla
1933-02-15,-0.22878167,Sevilla
1933-03-16,0.43266287,Sevilla
1933-04-16,-1.3372326,Sevilla
1933-05-16,-0.8834514,Sevilla
1933-06-16,0.49206626,Sevilla
1933-07-16,-0.4931519,Sevilla
1933-08-16,-0.7352101,Sevilla
1933-09-16,-0.7089986,Sevilla
1933-10-16,0.83020717,Sevilla
1933-11-16,0.45925918,Sevilla
1933-12-16,0.5962591,Sevilla
1934-01-16,-1.3320514,Sevilla
1934-02-15,-1.14624,Sevilla
1934-03-16,0.47975558,Sevilla
1934-04-16,1.7207415,Sevilla
1934-05-16,-0.48405486,Sevilla
1934-06-16,-0.45073056,Sevilla
1934-07-16,-0.2434554,Sevilla
1934-08-16,0.681058,Sevilla
1934-09-16,-0.8055433,Sevilla
1934-10-16,-1.426957,Sevilla
1934-11-16,0.756935,Sevilla
1934-12-16,0.27456883,Sevilla
1935-01-16,-0.9651373,Sevilla
1935-02-15,-0.76412755,Sevilla
1935-03-16,-0.65662795,Sevilla
1935-04-16,-0.9528401,Sevilla
1935-05-16,1.7092308,Sevilla
1935-06-16,-0.0444094,Sevilla
1935-07-16,-0.26246583,Sevilla
1935-08-16,0.104126476,Sevilla
1935-09-16,-0.4964054,Sevilla
1935-10-16,-0.11857488,Sevilla
1935-11-16,0.5890429,Sevilla
1935-12-16,0.4394935,Sevilla
1936-01-16,1.5380193,Sevilla
1936-02-15,1.7181693,Sevilla
1936-03-16,1.7051871,Sevilla
1936-04-16,1.7239585,Sevilla
1936-05-16,1.5839922,Sevilla
1936-06-16,0.6806602,Sevilla
1936-07-16,0.667682,Sevilla
1936-08-16,-0.19002244,Sevilla
1936-09-16,-0.79293615,Sevilla
1936-10-16,-0.26010662,Sevilla
1936-11-16,-0.07777501,Sevilla
1936-12-16,-0.93345493,Sevilla
1937-01-16,1.3981616,Sevilla
1937-02-15,-0.8094563,Sevilla
1937-03-16,0.9365566,Sevilla
1937-04-16,0.0014703191,Sevilla
1937-05-16,-0.77026105,Sevilla
1937-06-16,0.039466552,Sevilla
1937-07-16,-0.5222416,Sevilla
1937-08-16,-0.30618384,Sevilla
1937-09-16,-0.7299626,Sevilla
1937-10-16,1.8886482,Sevilla
1937-11-16,0.599564,Sevilla
1937-12-16,0.12281935,Sevilla
1938-01-16,-1.1555456,Sevilla
1938-02-15,-1.317525,Sevilla
1938-03-16,-1.1057606,Sevilla
1938-04-16,-0.16314359,Sevilla
